strategy,ratio,fold,item_r,item_r_ci_lower,item_r_ci_upper,item_mae,item_rmse,item_rounded_accuracy,trait_r_O,trait_r_C,trait_r_E,trait_r_A,trait_r_N,trait_r_mean,profile_r,coverage,redundancy,trait_max_dev,dir_imbalance,fwd_ratio,trait_count_O,trait_count_C,trait_count_E,trait_count_A,trait_count_N,selected_S
Hybrid-A,30,3,0.17396067723583397,0.1630209734530424,0.18490038101862555,1.020987012987013,1.2974515885917814,0.27929870129870127,0.6883813649593875,0.8177991830419781,0.9566581739176043,0.6793833853747733,0.8225859857410098,0.7929616186069506,0.8571604032238106,0.8758583178123246,0.6269214232650385,4.0,0.06666666666666665,0.5666666666666667,4,5,10,3,8,"8,9,11,13,16,23,28,42,46,47,57,59,60,62,64,67,68,69,72,73,78,79,82,85,89,90,91,92,94,96"
Hybrid-B,30,3,0.2122738848921297,0.20024159920561452,0.22430617057864488,1.0068571428571427,1.2660963378029428,0.27366233766233766,0.7234043252448246,0.8771500349032371,0.945432606511587,0.7335249515867039,0.812505659917033,0.818403515632677,0.8813942554662503,0.8752982054088636,0.6028430223642819,3.0,0.09999999999999998,0.4,5,6,9,4,6,"4,6,7,8,9,13,28,31,36,39,42,43,49,60,62,66,67,68,73,77,78,79,82,83,87,91,92,94,95,96"
Hybrid-C,30,3,0.22302669950638082,0.2112467440247951,0.23480665498796655,1.0076883116883117,1.2601690459491475,0.2681038961038961,0.7652384660003624,0.8542858757411484,0.8995848887357916,0.806270804003913,0.8639187843224404,0.8378597637607312,0.8984756238741534,0.8750786988946614,0.6021862874120129,1.0,0.033333333333333326,0.4666666666666667,6,5,7,5,7,"4,5,6,8,11,28,31,39,42,43,49,60,62,66,67,68,73,77,78,79,82,83,86,87,90,91,92,94,95,96"
TraitPredictiveness,50,3,0.1220780570875923,0.1076548819469825,0.1365012322282021,1.0929818181818183,1.3609422309544597,0.254,0.3394282094526902,0.9839782394256557,0.9753340103059234,0.5735925998517808,0.9909025975279167,0.7726471313127934,0.807337034280406,,,9.0,0.0,0.5,1,15,14,3,17,"4,7,8,9,10,11,13,14,16,17,19,26,27,28,29,32,34,36,38,39,42,46,47,48,49,54,57,59,62,64,65,66,67,68,69,72,77,78,79,82,86,87,89,90,91,92,94,96,97,99"
Hybrid-A,50,3,0.27105568714705186,0.2580794372092449,0.2840319370848588,0.9762545454545456,1.25056886843623,0.2948,0.7628444887925352,0.9722171027066968,0.9734763536374715,0.8769084483386177,0.9576400360619849,0.9086172859074612,0.923852652421753,0.9205585651772199,0.6283514352677911,5.0,0.0,0.5,5,13,12,8,12,"4,5,7,8,9,11,13,14,16,17,19,20,23,26,27,28,29,31,39,42,46,47,51,57,58,59,60,62,64,65,66,67,68,69,72,73,77,78,79,82,85,87,89,90,91,92,94,95,96,97"
Hybrid-B,50,3,0.27151242115836066,0.2597329108380381,0.2832919314786832,0.9726909090909092,1.2435714098925041,0.29345454545454547,0.8798217282421538,0.9666932640969064,0.9747430203140649,0.8962881455173045,0.9106870542184852,0.925646642477783,0.9258575143275314,0.9228075748405119,0.6059366727606044,3.0,0.08000000000000002,0.42,9,11,13,8,9,"3,4,5,6,7,8,9,13,14,17,19,22,27,28,31,36,39,42,43,49,50,51,53,54,57,60,62,66,67,68,69,71,72,73,77,78,79,81,82,83,86,87,88,89,90,91,92,94,95,96"
Hybrid-C,50,3,0.29888911313850836,0.2858827179022639,0.31189550837475283,0.9503636363636364,1.2221227109158412,0.30316363636363636,0.8338831745435856,0.9643083345273389,0.9656318677817347,0.9045084343181335,0.9528142616771054,0.9242292145695796,0.9304839907891542,0.9219371893901054,0.6099698888559851,2.0,0.0,0.5,8,11,12,8,11,"3,4,5,6,7,8,9,11,13,14,17,19,22,26,28,29,31,39,42,43,49,50,51,54,57,60,62,64,65,66,67,68,69,71,72,73,77,78,79,82,83,86,87,89,90,91,92,94,95,96"
TraitPredictiveness,90,3,0.1943602441173476,0.16522608526488114,0.22349440296981404,0.964727272727273,1.2078472566694254,0.2972727272727273,0.9047853709219073,0.9977700630831929,1.0,0.9947438362150062,1.0,0.9794598540440212,0.9880631380145347,,,6.0,0.033333333333333326,0.4666666666666667,12,19,20,19,20,"1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-A,90,3,0.36928136793683686,0.34308075960614537,0.39548197626752835,0.8972727272727272,1.1384759806100395,0.3185454545454546,0.9682128579224089,0.9952683150486649,1.0,0.9905452328046862,0.9979123395654076,0.9903877490682336,0.9926406645197022,0.9876685180712184,0.6284141671054015,3.0,0.0222222222222222,0.4777777777777778,15,18,20,18,19,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,25,26,27,28,29,31,32,34,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-B,90,3,0.35944542551504377,0.33292852613122126,0.3859623248988663,0.8967272727272728,1.1467809981954014,0.32236363636363635,0.991963110795211,0.9952683150486649,1.0,0.9815218579901757,0.9949250880060301,0.9927356743680165,0.992726632821935,0.9887099075214114,0.6239487272735809,2.0,0.0222222222222222,0.4777777777777778,18,18,20,16,18,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,26,27,28,29,30,31,32,33,34,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-C,90,3,0.2996239714865796,0.2711602764198479,0.3280876665533113,0.9510909090909091,1.2098933940804102,0.308,0.991963110795211,0.9952683150486649,0.9952898418579534,0.9841735883118142,0.9949250880060301,0.9923239888039348,0.9922799259580481,0.9885916015810077,0.6238585895001488,1.0,0.011111111111111127,0.4888888888888889,18,18,19,17,18,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
TraitPredictiveness,10,4,0.052786875452132474,0.04248782478519597,0.06308592611906898,1.1241853875733658,1.4219359900910962,0.2628617688726978,0.20423918888476397,0.7557290088764304,0.9015979191171345,0.25087471550030127,-0.27470104425504127,0.3675479576247178,0.44581910105322886,,,4.0,0.30000000000000004,0.8,0,3,6,0,1,"9,42,57,64,68,72,79,82,92,94"
Hybrid-A,10,4,0.06334329675121635,0.052705521138356345,0.07398107236407635,1.0861161708156244,1.3506531126100172,0.2511434932199959,0.31490729776399984,0.6949645942580418,0.6984778983287984,0.08666571830631369,0.5534067933673109,0.469684460404893,0.6095047770723189,0.8039758605297084,0.6362242335453165,2.0,0.0,0.5,1,3,3,0,3,"23,46,59,64,67,78,82,92,94,96"
Hybrid-B,10,4,0.07666457177976085,0.06602948856738172,0.08729965499213999,1.0705727585509006,1.3350455317693233,0.25519125683060107,0.35678872727310673,0.6208328468399504,0.823787252780063,0.086726296776896,0.4498595480808187,0.4675989343501669,0.5989935016080188,0.7934024946017181,0.5888900328163597,2.0,0.0,0.5,1,2,4,0,3,"17,36,39,42,73,77,82,92,94,96"
Hybrid-C,10,4,0.06712951932566764,0.05674580462792419,0.0775132340234111,1.0761789111515887,1.3383707989256972,0.2537947783849423,0.3322542681197732,0.6229411474678392,0.7738851689325092,0.33100908178647387,0.4976612477197195,0.511550182805263,0.6437569944244842,0.7935711291591981,0.5955027121370765,1.0,0.0,0.5,1,2,3,1,3,"11,17,39,42,73,77,82,91,94,96"
TraitPredictiveness,30,4,0.1470644685589757,0.13588952918693756,0.15823940793101385,1.0874577153265679,1.372583385308314,0.2662503252667187,0.15646642910650144,0.8982714023269907,0.9639993213902146,0.4443298420955675,0.8914583247923057,0.670905063942316,0.6958111106905751,,,6.0,0.1333333333333333,0.6333333333333333,0,8,11,2,9,"4,9,13,16,17,28,29,34,42,46,49,54,57,59,62,64,65,66,68,69,72,77,78,79,82,87,89,91,92,94"
Hybrid-A,30,4,0.22765248630698423,0.21663288728402916,0.2386720853299393,0.9951079885506114,1.2684640913627057,0.2864949258391881,0.7625606262671817,0.8314826061144825,0.9577475866215687,0.6442362322852949,0.8502001683844952,0.8092454439346046,0.8962565440900833,0.8766787608483141,0.6290409284176055,4.0,0.09999999999999998,0.6,4,5,10,3,8,"8,9,11,13,16,23,28,29,42,46,47,57,59,60,62,64,65,67,68,69,72,73,78,79,82,85,90,92,94,96"
Hybrid-B,30,4,0.20703189553899295,0.19494894327024687,0.21911484780773904,1.0163153786104604,1.275712568064258,0.2699453551912568,0.7212291932454294,0.8939846725072841,0.9276073942865453,0.7468654475388873,0.8121992814324875,0.8203771978021267,0.890818560910012,0.8748039701961637,0.6011354295436806,2.0,0.09999999999999998,0.4,5,7,8,4,6,"4,6,7,8,9,13,17,28,31,36,39,42,43,46,49,57,60,62,67,73,77,79,82,83,87,91,92,94,95,96"
Hybrid-C,30,4,0.22644261807579907,0.21507254964374306,0.2378126865078551,1.0072859744990892,1.2652000667880694,0.2710902940411137,0.8036267127380978,0.8632526164214499,0.8896102890681704,0.7991360286990398,0.8542816458618929,0.8419814585577303,0.9005318521217269,0.8752385054159566,0.6016017571163798,1.0,0.0,0.5,6,6,7,5,6,"4,5,6,7,8,11,13,17,28,31,39,42,46,49,50,60,62,67,73,77,79,82,83,87,90,91,92,94,95,96"
TraitPredictiveness,50,4,0.12668683275756656,0.11317237518767645,0.14020129032745668,1.103023679417122,1.3663024881251165,0.24837887067395267,0.391202311706061,0.9832152786034466,0.9750268595640406,0.7028806606723691,0.9857665906385369,0.8076183402368908,0.8134632036878305,,,9.0,0.020000000000000018,0.52,1,15,14,4,16,"4,5,7,8,9,10,11,13,14,16,17,19,26,27,28,29,32,34,36,38,39,42,46,47,48,49,54,57,59,62,64,65,66,67,68,69,72,77,78,79,82,87,89,90,91,92,94,96,97,99"
Hybrid-A,50,4,0.2899492983486583,0.2768538066203009,0.3030447900770157,0.9666666666666668,1.238926413320589,0.29675774134790533,0.8020922853521144,0.9653537598950253,0.9784658520196245,0.8649958138184979,0.9562108086697589,0.9134237039510043,0.9328153490475692,0.9213736821345637,0.6275912450330557,5.0,0.0,0.5,5,12,13,8,12,"4,5,7,8,9,11,13,14,16,17,19,20,23,26,27,28,29,31,39,42,46,47,51,57,58,59,60,62,64,65,66,67,68,69,72,73,77,78,79,82,85,87,88,89,90,91,92,94,95,96"
Hybrid-B,50,4,0.30049038810439016,0.2876655682173672,0.3133152079914131,0.9593078324225864,1.230524962256481,0.2995628415300546,0.9119045767192686,0.9657306597934543,0.9702669755905291,0.8944940341965949,0.9153579767986012,0.9315508446196896,0.9478839892436604,0.9240970828207508,0.607902294289139,2.0,0.06,0.44,10,11,12,8,9,"3,4,5,6,7,8,9,13,14,17,20,27,28,31,36,39,42,43,46,47,49,50,51,53,54,57,60,62,65,67,68,69,71,72,73,77,78,79,82,83,86,87,88,89,90,91,92,94,95,96"
Hybrid-C,50,4,0.30058872848577073,0.287489761812953,0.31368769515858846,0.9544990892531876,1.2123801258072937,0.2906739526411658,0.8969587368240095,0.9525355908168995,0.9651505889410016,0.8986996052939454,0.9511512939446125,0.9328991631640937,0.9500176869840455,0.9256585633204669,0.6098442639010085,1.0,0.020000000000000018,0.48,9,10,11,9,11,"4,5,6,7,8,9,11,13,14,17,20,21,26,28,29,31,39,42,43,46,47,49,50,51,53,54,57,60,62,65,67,68,69,71,72,73,77,79,82,83,86,87,88,89,90,91,92,94,95,96"
TraitPredictiveness,90,4,0.211328111136487,0.18389016258163912,0.23876605969133488,0.9561020036429874,1.1978727513628937,0.2972677595628415,0.9177578823610297,0.9977083550277407,1.0,0.9955213508212717,0.9999999999999998,0.9821975176420084,0.988966513104349,,,6.0,0.033333333333333326,0.4666666666666667,12,19,20,19,20,"1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-A,90,4,0.3849290911252096,0.3591246282366336,0.41073355401378564,0.8832422586520947,1.1185393683785692,0.3187613843351548,0.9685728383180143,0.9948742174820749,1.0,0.9955213508212717,0.9977786390839722,0.9913494091410666,0.9938515792150462,0.9871402765232845,0.6292881681600739,4.0,0.0222222222222222,0.4777777777777778,14,18,20,19,19,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,25,26,27,28,29,31,32,34,35,36,37,38,39,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-B,90,4,0.387900192739102,0.36174040311798195,0.414059982360222,0.882695810564663,1.1351321331978081,0.3316939890710383,0.9936600187826216,0.9948742174820749,1.0,0.980825389266085,0.9951493137070375,0.9929017878475637,0.9939905700294197,0.9887099075214114,0.6239487272735809,2.0,0.0222222222222222,0.4777777777777778,18,18,20,16,18,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,26,27,28,29,30,31,32,33,34,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99"
Hybrid-C,90,4,0.3745688381928354,0.34722797448915327,0.4019097018965175,0.9065573770491804,1.1666798601069022,0.3280510018214936,0.9940756653374868,0.9949054973681155,0.9958029299041308,0.9835300711365863,0.9951493137070375,0.9926926954906714,0.9939694233638834,0.9885841576157246,0.6239330466445161,1.0,0.0,0.5,18,18,19,17,18,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,77,78,79,81,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,99"
